samples	Sample	Full_name_old	Plot	combo	Block_Unit	Depth	Date	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)
ASCC319_37_0823_SF_1C_5	Sample319	SF	37	SF_37_0_5cm	0	0_5cm	45160	0.51	SF_37_0_5cm	4	1	0_5cm	45160	Mineral	45163	NORM	0.76	0.082162162	765.5506993	5.528	4.4394	0.096	0.1864	0.3051
ASCC32_C3_5_0923_SJ_1C_15	Sample32	SJ	C3	SJ_C3_5_15cm	5	5_15cm	45196	0.57	SJ_C3_5_15cm	C	3	5_15cm	45196	Mineral	45223	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187
ASCC320_32_0823_SF_1C_5	Sample320	SF	32	SF_32_0_5cm	0	0_5cm	45160	0.35	SF_32_0_5cm	4	1	0_5cm	45162	Mineral	45163	NORM	0.804	0.086358754	782.8905478	5.42	2.0319	0.0675	0.1282	0.1898
ASCC321_62_0823_SF_1C_15	Sample321	SF	62	SF_62_5_15cm	0	5_15cm	45162	0.66	SF_62_5_15cm	12	2	5_15cm	45162	Mineral	45163	NORM	1.24	0.141714286	490.1751752	5.879	2.0547	0.0939	0.2587	0.0432
ASCC322_13_0823_SF_1C_5	Sample322	SF	13	SF_13_0_5cm	0	0_5cm	45161	0.55	SF_13_0_5cm	2	1	0_5cm	45161	Mineral	45163	NORM	0.892	0.096432432	585.3529876	5.413	2.4098	0.0526	0.1195	0.4491
ASCC323_125_0823_SF_1C_15	Sample323	SF	125	SF_125_5_15cm	0	5_15cm	45161	0.76	SF_125_5_15cm	5	2	5_15cm	45161	Mineral	45163	NORM	0.53	0.05573081	518.0487251	5.115	0.4722	0.0252	0.166	2.0236
ASCC324_112_0823_SF_1C_15	Sample324	SF	112	SF_112_5_15cm	0	5_15cm	45162	0.46	SF_112_5_15cm	14	4	5_15cm	45162	Mineral	45163	NORM	0.75	0.081168831	536.3177177	5.448	1.9458	0.0618	0.0999	0.1887
ASCC325_84_0823_SF_1C_5	Sample325	SF	84	SF_84_0_5cm	0	0_5cm	45162	0.49	SF_84_0_5cm	9	3	0_5cm	45162	Mineral	45163	NORM	1.586	0.182718894	298.6931229	5.584	4.3583	0.143	0.2466	0.0194
ASCC326_57_0823_SF_1C_15	Sample326	SF	57	SF_57_5_15cm	0	5_15cm	45160	0.61	SF_57_5_15cm	7	3	5_15cm	45160	Mineral	45163	NORM	1.044	0.115359116	683.5825243	5.822	2.1048	0.0413	0.1174	0.4196
ASCC327_13_0823_SF_1C_15	Sample327	SF	13	SF_13_5_15cm	0	5_15cm	45161	0.68	SF_13_5_15cm	2	1	5_15cm	45161	Mineral	45163	NORM	1.888	0.221856639	468.1482112	5.401	1.5067	0.0374	0.1214	0.4538
ASCC328_168_0823_SF_1C_5	Sample328	SF	168	SF_168_0_5cm	0	0_5cm	45161	0.58	SF_168_0_5cm	0	2	0_5cm	45161	Mineral	45163	NORM	0.902	0.097198276	387.5142801	5.59	1.5774	0.0474	0.1888	82.4769
ASCC329_85_0823_SF_1C_5	Sample329	SF	85	SF_85_0_5cm	0	0_5cm	45162	0.59	SF_85_0_5cm	9	3	0_5cm	45162	Mineral	45163	NORM	1.21	0.137970353	381.4598497	5.91	3.836	0.1106	0.1554	0.1644
ASCC33_T2C_7_0923_SJ_1_ 5	Sample33	SJ	T2C	SJ_TC2_0_5cm	7	0_5cm	45196	0.43	SJ_TC2_0_5cm	TC	2	0_5cm	45196	Mineral	45223	NORM	0.76	0.081984898	641.423001	6.848	4.6641	0.2179	0.364	0.0893
ASCC330_16_0823_SF_1C_5	Sample330	SF	16	SF_16_0_5cm	0	0_5cm	45161	0.51	SF_16_0_5cm	2	1	0_5cm	45161	Mineral	45163	NORM	0.94	0.103982301	390.8758317	5.634	2.9578	0.0623	0.1476	0.4582
ASCC331_5_0823_SF_1C_5	Sample331	SF	5	SF_5_0_5cm	0	0_5cm	45161	0.44	SF_5_0_5cm	1	1	0_5cm	45161	Mineral	45163	NORM	0.93	0.102535832	220.99962	5.173	3.7042	0.0759	0.1463	0.4219
ASCC332_27_0823_SF_1C_15	Sample332	SF	27	SF_27_5_15cm	0	5_15cm	45161	0.59	SF_27_5_15cm	3	1	5_15cm	45161	Mineral	45163	NORM	0.8	0.085653105	346.0129191	6.108	0.6609	0.0201	0.1351	0.493
ASCC333_40_0823_SF_1C_5	Sample333	SF	40	SF_40_0_5cm	0	0_5cm	45160	0.68	SF_40_0_5cm	6	3	0_5cm	45160	Mineral	45163	NORM	0.896	0.097603486	496.1172291	5.987	2.38	0.0722	0.1452	0.3304
ASCC334_75_0823_SF_1C_5	Sample334	SF	75	SF_75_0_5cm	0	0_5cm	45162	0.77	SF_75_0_5cm	8	3	0_5cm	45162	Mineral	45163	NORM	0.94	0.103296703	659.251494	6.065	3.177	0.0913	0.098	0.0472
ASCC336_40_0823_SF_1C_15	Sample336	SF	40	SF_40_5_15cm	0	5_15cm	45160	0.62	SF_40_5_15cm	6	3	5_15cm	45160	Mineral	45163	NORM	1.182	0.129039301	533.9672404	5.898	0.8551	0.1838	0.1102	0.3421
ASCC337_43_0823_SF_1C_15	Sample337	SF	43	SF_43_5_15cm	0	5_15cm	45160	0.59	SF_43_5_15cm	6	3	5_15cm	45160	Mineral	45163	NORM	0.56	0.059384942	435.6112513	5.834	1.561	0.0423	0.1132	0.358
ASCC35_T4C_6_0923_SJ_1C_5	Sample35	SJ	T4C	SJ_TC4_0_5cm	6	0_5cm	45197	0.6	SJ_TC4_0_5cm	TC	4	0_5cm	45197	Mineral	45237	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0
ASCC37_T1B_5_0923_SJ_1C_5	Sample37	SJ	T1B	SJ_TB1_0_5cm	5	0_5cm	45195	0.39	SJ_TB1_0_5cm	TB	1	0_5cm	45195	Mineral	45240	NORM	0.94	0.103867403	568.1841842	7.392	4.0209	0.2145	3.7138	0.1399
ASCC38_T1B_5_0923_SJ_1 C_15	Sample38	SJ	T1B	SJ_TB1_5_15cm	5	5_15cm	45195	0.48	SJ_TB1_5_15cm	TB	1	5_15cm	45195	Mineral	45240	NORM	0.85	0.092997812	654.9418418	7.417	3.8035	0.2612	0	0
ASCC39_T3A_5_0923_SJ_1C_5	Sample39	SJ	T3A	SJ_TA3_0_5cm	5	0_5cm	45196	0.8	SJ_TA3_0_5cm	TA	3	0_5cm	45196	Mineral	45223	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129
ASCC4_TB2_4_0923_SJ_1C_15	Sample4	SJ	TB2	SJ_TB2_5_15cm	4	5_15cm	45195	0.58	SJ_TB2_5_15cm	TB	2	5_15cm	45195	Mineral	45222	NORM	2.08	0.249759846	659.5667179	5.638	2.885	0.144	0.4132	0.0719
ASCC40_T3A_4_0923_SJ_1C_15	Sample40	SJ	T3A	SJ_TA3_5_15cm	4	5_15cm	45196	0.62	SJ_TA3_5_15cm	TA	3	5_15cm	45196	Mineral	45223	NORM	0.78	0.084598698	1064.9561	6.683	4.6085	0.2541	0.4435	0.0805
ASCC41_TC3_5_0923 SJ 1C 15	Sample41	SJ	TC3	SJ_TC3_5_15cm	5	5_15cm	45196	0.57	SJ_TC3_5_15cm	TC	3	5_15cm	45196	Mineral	45240	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0
ASCC42_T3C_3_0923_SJ_1C 15	Sample42	SJ	TC3	SJ_TC3_5_15cm	3	5_15cm	45196	0.47	SJ_TC3_5_15cm	TC	3	5_15cm	45196	Mineral	45240	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0
ASCC43_T1C_3_0923_SJ 1C 15	Sample43	SJ	T1C	SJ_TC1_5_15cm	3	5_15cm	45195	0.54	SJ_TC1_5_15cm	TC	1	5_15cm	45195	Mineral	45240	NORM	0.84	0.091603053	659.5437762	7.43	4.2984	0.2533	0	0
ASCC44_C4_3_0923_SJ_1C_15	Sample44	SJ	C4	SJ_C4_5_15cm	3	5_15cm	45194	0.63	SJ_C4_5_15cm	C	4	5_15cm	45197	Mineral	45230	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0
ASCC45_TB3_2_0923_SJ_1C 5	Sample45	SJ	TB3	SJ_TB3_0_5cm	2	0_5cm	45196	0.45	SJ_TB3_0_5cm	TB	3	0_5cm	45196	Mineral	45223	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843
ASCC46_C4_6_0923_SJ_1C_5	Sample46	SJ	C4	SJ_C4_0_5cm	6	0_5cm	45197	0.38	SJ_C4_0_5cm	C	4	0_5cm	45197	Mineral	45230	NORM	1	0.110864745	594.6628543	7.788	3.7271	0.1829	0	0
ASCC47_T3C_5_0923_SJ_1C_5	Sample47	SJ	TC3	SJ_TC3_0_5cm	5	0_5cm	45196	0.53	SJ_TC3_0_5cm	TC	3	0_5cm	45196	Mineral	45240	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0
ASCC48_T4A_4_0923_SJ_1 C_15	Sample48	SJ	T4A	SJ_TA4_5_15cm	4	5_15cm	45194	0.42	SJ_TA4_5_15cm	TA	4	5_15cm	45197	Mineral	45237	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0
ASCC49_T4A_3_0923_SJ_1C_5	Sample49	SJ	T4A	SJ_TA4_0_5cm	3	0_5cm	45194	0.36	SJ_TA4_0_5cm	TA	4	0_5cm	45197	Mineral	45240	NORM	1.4	0.163551402	672.7850602	7.418	3.2942	0.3046	0	0
ASCC5_C2_2_0923_SJ_1C_15	Sample5	SJ	C2	SJ_C2_5_15cm	2	5_15cm	45195	0.46	SJ_C2_5_15cm	C	2	5_15cm	45195	Mineral	45222	NORM	1.61	0.191438763	694.6643214	6.444	3.795	0.1683	0.4777	0.0643
ASCC50_C3_4_0923_SJ_1C_15	Sample50	SJ	C3	SJ_C3_5_15cm	4	5_15cm	45196	0.56	SJ_C3_5_15cm	C	3	5_15cm	45196	Mineral	45223	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187
ASCC51_TB2_3_0923_SJ_1C_5	Sample51	SJ	TB2	SJ_TB2_0_5cm	3	0_5cm	45195	0.27	SJ_TB2_0_5cm	TB	2	0_5cm	45195	Mineral	45222	NORM	1.66	0.19832736	559.0041775	6.628	3.8751	0.3075	0.3697	0.071
ASCC52_T4A_6_0923_SJ_1C_15	Sample52	SJ	T4A	SJ_TA4_5_15cm	6	5_15cm	45197	0.42	SJ_TA4_5_15cm	TA	4	5_15cm	45197	Mineral	45237	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0
ASCC53_TB3_5_0923_SJ_1C_5	Sample53	SJ	TB3	SJ_TB3_0_5cm	5	0_5cm	45196	0.39	SJ_TB3_0_5cm	TB	3	0_5cm	45196	Mineral	45223	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843
ASCC56_C2_2_0923_SJ_1C_5	Sample56	SJ	C2	SJ_C2_0_5cm	2	0_5cm	45195	0.31	SJ_C2_0_5cm	C	2	0_5cm	45195	Mineral	45222	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739
ASCC57_T1C_6_0923_SJ_1C_5	Sample57	SJ	T1C	SJ_TC1_0_5cm	6	0_5cm	45195	0.29	SJ_TC1_0_5cm	TC	1	0_5cm	45195	Mineral	45239	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0
ASCC58_T1C_4_0923_SJ_1C_15	Sample58	SJ	T1C	SJ_TC1_5_15cm	4	5_15cm	45195	0.65	SJ_TC1_5_15cm	TC	1	5_15cm	45195	Mineral	45240	NORM	0.84	0.091603053	659.5437762	7.43	4.2984	0.2533	0	0
ASCC59_T4C_6_0923_SJ_1C_15	Sample59	SJ	T4C	SJ_TC4_5_15cm	6	5_15cm	45197	0.78	SJ_TC4_5_15cm	TC	4	5_15cm	45197	Mineral	45230	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0
ASCC6_T4C_6_0923_SJ_1C_5	Sample6	SJ	T4C	SJ_TC4_0_5cm	6	0_5cm	45197	0.38	SJ_TC4_0_5cm	TC	4	0_5cm	45197	Mineral	45237	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0
ASCC60_T4C_4_0923_SJ_1C_15	Sample60	SJ	T4C	SJ_TC4_5_15cm	4	5_15cm	45194	0.53	SJ_TC4_5_15cm	TC	4	5_15cm	45197	Mineral	45230	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0
ASCC61_T4C_4_0923_SJ_1C_5	Sample61	SJ	T4C	SJ_TC4_0_5cm	4	0_5cm	45194	0.47	SJ_TC4_0_5cm	TC	4	0_5cm	45197	Mineral	45237	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0
ASCC62_T3C_4_0923_SJ_1C_15	Sample62	SJ	TC3	SJ_TC3_5_15cm	4	5_15cm	45196	0.67	SJ_TC3_5_15cm	TC	3	5_15cm	45196	Mineral	45240	NORM	1.454	0.16030871	793.1509882	7.416	1.8506	0.106	0	0
ASCC63_TIC_3_0923_SJ_1C_5	Sample63	SJ	T1C	SJ_TC1_0_5cm	3	0_5cm	45195	0.46	SJ_TC1_0_5cm	TC	1	0_5cm	45195	Mineral	45239	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0
ASCC64_T2A_3_0923_SJ_1C_15	Sample64	SJ	T2A	SJ_TA2_5_15cm	3	5_15cm	45196	0.54	SJ_TA2_5_15cm	TA	2	5_15cm	45195	Mineral	45237	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0
ASCC65_T2A_5_0923_SJ_1C_15	Sample65	SJ	T2A	SJ_TA2_5_15cm	5	5_15cm	45195	0.49	SJ_TA2_5_15cm	TA	2	5_15cm	45195	Mineral	45237	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0
ASCC66_TB3_2_0923_SJ_1C_15	Sample66	SJ	TB3	SJ_TB3_5_15cm	2	5_15cm	45196	0.72	SJ_TB3_5_15cm	TB	3	5_15cm	45196	Mineral	45223	NORM	1.616	0.183845279	196.0729195	5.824	2.549	0.1188	0.7102	0.0784
ASCC67_T2A_4_0923_SJ_1C_15	Sample67	SJ	T2A	SJ_TA2_5_15cm	4	5_15cm	45195	0.5	SJ_TA2_5_15cm	TA	2	5_15cm	45195	Mineral	45237	NORM	0.84	0.0914037	742.7590728	7.886	3.8272	0.221	0	0
ASCC68_T4C_5_0923_SJ_1C_15	Sample68	SJ	T4C	SJ_TC4_5_15cm	5	5_15cm	45194	0.5	SJ_TC4_5_15cm	TC	4	5_15cm	45197	Mineral	45230	NORM	0.73	0.078833693	951.5368368	7.96	2.7488	0.1544	0	0
ASCC69_C2_5_0923_SJ_1C_5	Sample69	SJ	C2	SJ_C2_0_5cm	5	0_5cm	45195	0.46	SJ_C2_0_5cm	C	2	0_5cm	45195	Mineral	45222	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739
ASCC7_T1C_4_0923_SJ_1C_5	Sample7	SJ	T1C	SJ_TC1_0_5cm	4	0_5cm	45195	0.41	SJ_TC1_0_5cm	TC	1	0_5cm	45195	Mineral	45239	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0
ASCC70_T4B_4_0923_SJ 1C 15	Sample70	SJ	T4B	SJ_TB4_5_15cm	4	5_15cm	45194	0.5	SJ_TB4_5_15cm	TB	4	5_15cm	45194	Mineral	45239	NORM	1.518	0.168854283	410.2307766	7.522	5.4406	0.2416	0	0
ASCC71_TIB_3_0923_SJ 1C 15	Sample71	SJ	T1B	SJ_TB1_5_15cm	3	5_15cm	45195	0.44	SJ_TB1_5_15cm	TB	1	5_15cm	45195	Mineral	45240	NORM	0.85	0.092997812	654.9418418	7.417	3.8035	0.2612	0	0
ASCC72_T4C_5_0923_SJ_1C 5	Sample72	SJ	T4C	SJ_TC4_0_5cm	5	0_5cm	45194	0.44	SJ_TC4_0_5cm	TC	4	0_5cm	45197	Mineral	45237	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0
ASCC74_C1_4_0923_SJ_1C 5	Sample74	SJ	C1	SJ_C1_0_5cm	4	0_5cm	45195	0.49	SJ_C1_0_5cm	C	1	0_5cm	45195	Mineral	45222	NORM	1.38	0.159537572	607.4663011	6.803	3.7215	0.2614	1.0409	0.0657
ASCC75_TB2_6_0923_SJ_1C_5	Sample75	SJ	TB2	SJ_TB2_0_5cm	6	0_5cm	45195	0.59	SJ_TB2_0_5cm	TB	2	0_5cm	45195	Mineral	45222	NORM	1.66	0.19832736	559.0041775	6.628	3.8751	0.3075	0.3697	0.071
ASCC76_C1_2_0923_SJ_1C_15	Sample76	SJ	C1	SJ_C1_5_15cm	2	5_15cm	45195	0.54	SJ_C1_5_15cm	C	1	5_15cm	45195	Mineral	45222	NORM	1.22	0.139110604	675.7464965	6.561	4.5979	0.2215	1.1381	0.0647
ASCC5_C2_2_0923_SJ_1C_15	Sample5	SJ	C2	SJ_C2_5_15cm	2	5_15cm	45195	0.46	SJ_C2_5_15cm	C	2	5_15cm	45195	Mineral	45222	NORM	1.61	0.191438763	694.6643214	6.444	3.795	0.1683	0.4777	0.0643
ASCC78_C4_3_0923_SJ_1C_5	Sample78	SJ	C4	SJ_C4_0_5cm	3	0_5cm	45194	0.6	SJ_C4_0_5cm	C	4	0_5cm	45197	Mineral	45230	NORM	1	0.110864745	594.6628543	7.788	3.7271	0.1829	0	0
ASCC79_T2A_3_0923_SJ_1C_5	Sample79	SJ	T2A	SJ_TA2_0_5cm	3	0_5cm	45196	0.31	SJ_TA2_0_5cm	TA	2	0_5cm	45195	Mineral	45224	NORM	1.12	0.125560538	510.3856972	7.441	3.3322	0.1997	0.4393	0.0915
ASCC8_C3_4_0923_SJ_1C_5	Sample8	SJ	C3	SJ_C3_0_5cm	4	0_5cm	45196	0.47	SJ_C3_0_5cm	C	3	0_5cm	45196	Mineral	45223	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807
ASCC80_T4B_4_0923_SJ_1C_5	Sample80	SJ	T4B	SJ_TB4_0_5cm	4	0_5cm	45194	0.59	SJ_TB4_0_5cm	TB	4	0_5cm	45197	Mineral	45223	NORM	1.47	0.171728972	387.5042871	5.683	4.3277	0.337	2.6283	0.0753
ASCC81_T3A_5_0923_SJ_1C_15	Sample81	SJ	T3A	SJ_TA3_5_15cm	5	5_15cm	45196	0.53	SJ_TA3_5_15cm	TA	3	5_15cm	45196	Mineral	45223	NORM	0.78	0.084598698	1064.9561	6.683	4.6085	0.2541	0.4435	0.0805
ASCC82_T2C_5_0923_SJ_1C_15	Sample82	SJ	T2C	SJ_TC2_5_15cm	5	5_15cm	45196	0.34	SJ_TC2_5_15cm	TC	2	5_15cm	45196	Mineral	45224	NORM	0.77	0.083243243	654.4513473	6.915	3.5033	0.2615	0.4714	8.5137
ASCC83_T4B_4_0923_SJ_1C_5	Sample83	SJ	T4B	SJ_TB4_0_5cm	4	0_5cm	45194	0.35	SJ_TB4_0_5cm	TB	4	0_5cm	45197	Mineral	45223	NORM	1.47	0.171728972	387.5042871	5.683	4.3277	0.337	2.6283	0.0753
ASCC84_C1_4_0923_SJ_1C_15	Sample84	SJ	C1	SJ_C1_5_15cm	4	5_15cm	45195	0.4	SJ_C1_5_15cm	C	1	5_15cm	45195	Mineral	45222	NORM	1.22	0.139110604	675.7464965	6.561	4.5979	0.2215	1.1381	0.0647
ASCC85_C3_3_0923_SJ_1C_15	Sample85	SJ	C3	SJ_C3_5_15cm	3	5_15cm	45196	0.56	SJ_C3_5_15cm	C	3	5_15cm	45196	Mineral	45223	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187
ASCC86_T1A_3_0923_SJ_1C_15	Sample86	SJ	T1A	SJ_TA1_5_15cm	3	5_15cm	45195	0.39	SJ_TA1_5_15cm	TA	1	5_15cm	45195	Mineral	45239	NORM	1.474	0.163777778	561.2239832	7.657	3.7772	0.2363	0	0
ASCC87_T4B_5_0923_SJ_1C_15	Sample87	SJ	TB2	SJ_TB2_5_15cm	5	5_15cm	45197	0.48	SJ_TB2_5_15cm	TB	2	5_15cm	45195	Mineral	45222	NORM	2.08	0.249759846	659.5667179	5.638	2.885	0.144	0.4132	0.0719
ASCC88_T1A_2_0923_SJ_1C_5	Sample88	SJ	T1A	SJ_TA1_0_5cm	2	0_5cm	45195	0.57	SJ_TA1_0_5cm	TA	1	0_5cm	45195	Mineral	45239	NORM	1.04	0.116201117	771.5007508	6.99	3.3926	0.3452	0	0
ASCC89_T2C_7_0923_SJ_1C_15	Sample89	SJ	T2C	SJ_TC2_5_15cm	7	5_15cm	45196	0.6	SJ_TC2_5_15cm	TC	2	5_15cm	45196	Mineral	45224	NORM	0.77	0.083243243	654.4513473	6.915	3.5033	0.2615	0.4714	8.5137
ASCC9_T2C_5_0923_SJ_1C_5	Sample9	SJ	T2C	SJ_TC2_0_5cm	5	0_5cm	45196	0.36	SJ_TC2_0_5cm	TC	2	0_5cm	45196	Mineral	45223	NORM	0.76	0.081984898	641.423001	6.848	4.6641	0.2179	0.364	0.0893
ASCC90_T1B_4_0923_SJ_1_C_5	Sample90	SJ	T1B	SJ_TB1_0_5cm	4	0_5cm	45195	0.62	SJ_TB1_0_5cm	TB	1	0_5cm	45195	Mineral	45240	NORM	0.94	0.103867403	568.1841842	7.392	4.0209	0.2145	3.7138	0.1399
ASCC91_T1B_4_0923_SJ_1C_15	Sample91	SJ	T1B	SJ_TB1_5_15cm	4	5_15cm	45195	0.64	SJ_TB1_5_15cm	TB	1	5_15cm	45195	Mineral	45240	NORM	0.85	0.092997812	654.9418418	7.417	3.8035	0.2612	0	0
ASCC92_T1C_6_0923_SJ_1C_15	Sample92	SJ	T1C	SJ_TC1_5_15cm	6	5_15cm	45195	0.51	SJ_TC1_5_15cm	TC	1	5_15cm	45195	Mineral	45240	NORM	0.84	0.091603053	659.5437762	7.43	4.2984	0.2533	0	0
ASCC93_T4B_3_0923 SJ_1C_5	Sample93	SJ	T4B	SJ_TB4_0_5cm	3	0_5cm	45194	0.31	SJ_TB4_0_5cm	TB	4	0_5cm	45197	Mineral	45223	NORM	1.47	0.171728972	387.5042871	5.683	4.3277	0.337	2.6283	0.0753
ASCC94_T4B_3_0923_SJ_1C_15	Sample94	SJ	T4B	SJ_TB4_5_15cm	3	5_15cm	45194	0.61	SJ_TB4_5_15cm	TB	4	5_15cm	45194	Mineral	45239	NORM	1.518	0.168854283	410.2307766	7.522	5.4406	0.2416	0	0
ASCC85_C3_3_0923_SJ_1C_15	Sample85	SJ	C3	SJ_C3_5_15cm	3	5_15cm	45196	0.56	SJ_C3_5_15cm	C	3	5_15cm	45196	Mineral	45223	NORM	0.65	0.069742489	940.6469408	7.222	1.8771	0.0993	0.502	6.187
ASCC96_16_111_0923_TP_1C_5	Sample96	TP	16	TP_111_0_5cm	111	0_5cm	45174	0.7	TP_111_0_5cm	16	4	0_5cm	45174	Mineral	45182	NORM	0.5	0.052576236	440.3386513	5.758	0.832	0.0098	0.3152	0.0257
ASCC98_16_110_0923_TP_1C_15	Sample98	TP	16	TP_110_5_15cm	110	5_15cm	45174	0.67	TP_110_5_15cm	16	4	5_15cm	45174	Mineral	45190	NORM	0.7	0.073917635	465.83647	5.662	1.3018	0.0229	0.2716	0.3845
ASCC99_10_68_0923_TP_1C_15	Sample99	TP	10	TP_68_5_15cm	68	5_15cm	45175	0.52	TP_68_5_15cm	10	3	5_15cm	45175	Mineral	45189	NORM	1.154	0.122116402	592.7281686	4.775	1.3844	0.0378	0.1816	0.0494
